Unnamed: 0,Unnamed: 0.1,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author,lda_cluster
17,17,1292821616804671488,2020-08-10 13:54:27+00:00,"Whether it’s threatening #SocialSecurity and #Medicare during a pandemic through Executive Actions or in their budgets, Republicans are consistently working to weaken and dismantle the safety net for the most vulnerable Americans.",threaten SocialSecurity Medicare pandemic Executive Actions budget Republicans consistently work weaken dismantle safety vulnerable Americans,5469,#SocialSecurity #Medicare,<UNK>,TeamPelosi,6
18,18,1292641874650501120,2020-08-10 02:00:13+00:00,The American people have a right to know the whole story about what the Russians are doing right now to interfere in our election. Our next President of the United States should be chosen by American voters – not by Vladimir Putin.,american people right know story Russians right interfere election President United States choose american voter Vladimir Putin,6234,<UNK>,<UNK>,TeamPelosi,1
19,19,1292589722427101184,2020-08-09 22:32:59+00:00,Candidate Trump promised to protect Social Security but now President Trump is cutting its funding as part of his incoherent response to a pandemic that disproportionately impacts seniors and disabled persons who rely on Social Security benefits. Something is wrong here. –NP,Candidate Trump promise protect Social Security President Trump cut funding incoherent response pandemic disproportionately impact senior disabled person rely Social Security benefit wrong,15496,<UNK>,<UNK>,TeamPelosi,6
20,20,1292550069183483906,2020-08-09 19:55:25+00:00,"Safe in-class learning requires a science-based plan to contain #covid and ensuring that teachers and other heroes who run our schools still *have* those jobs. The President’s weak, meager action does not even address schools, so an agreement remains an urgent imperative.",safe class learning require science base plan contain covid ensure teacher hero school job President weak meager action address school agreement remain urgent imperative,1186,#covid,<UNK>,TeamPelosi,6
21,21,1292510440115695617,2020-08-09 17:17:57+00:00,Social Security is the most effective anti-poverty tool for seniors and people with disabilities to live with dignity. Pass it on.,Social Security effective anti poverty tool senior people disability live dignity pass,34208,<UNK>,<UNK>,TeamPelosi,6
22,22,1292490535798812673,2020-08-09 15:58:51+00:00,"We’ve been here before. The President’s grand proclamations make the front page, above the fold – but remember to read the fine print. The American people deserve real solutions to kitchen table concerns from the #covid pandemic, not ineffective half-measures.",President grand proclamation page fold remember read fine print american people deserve real solution kitchen table concern covid pandemic ineffective half measure,1336,#covid,<UNK>,TeamPelosi,6
23,23,1292464223583449088,2020-08-09 14:14:18+00:00,"There is a major difference between working to provide for the urgent needs of America’s working families and prioritizing stagecraft that gives the *illusion* of helping, but falls way short of actually addressing the widespread hardship from the #covid pandemic.",major difference work provide urgent need America work family prioritize stagecraft give illusion helping fall short actually address widespread hardship covid pandemic,2823,#covid,<UNK>,TeamPelosi,6
24,24,1292269712160821250,2020-08-09 01:21:23+00:00,"America’s working families are facing more economic insecurity and we've now lost 160,000 souls as a result of this Administration’s continued failure to adopt a strategic plan to stop the #TrumpVirus. There’s no reasonable argument for slashing the relief they need to survive.","America work family face economic insecurity lose 160,000 soul result Administration continue failure adopt strategic plan stop TrumpVirus reasonable argument slash relief need survive",3403,#TrumpVirus,<UNK>,TeamPelosi,6
25,25,1292094501272592386,2020-08-08 13:45:09+00:00,"Trillions are being used to ensure there’s a floor for the stock market during our public health and economic crises from the #TrumpVirus. Trillions are needed to ensure there is a not only a floor for America’s working families but a roof overhead for the children, as well.",trillion ensure floor stock market public health economic crisis TrumpVirus trillion need ensure floor America work family roof overhead child,5334,#TrumpVirus,<UNK>,TeamPelosi,6
26,26,1291906016565657602,2020-08-08 01:16:11+00:00,"Our death toll of more than 160,000 souls tells us that the #coronavirus never took a pause. The academic year isn’t taking a pause, either. For the children, we will keep working to find common ground to overcome this historic challenge.","death toll 160,000 soul tell coronaviru take pause academic year take pause child work find common ground overcome historic challenge",1137,#coronavirus,<UNK>,TeamPelosi,6
27,27,1291858462578745344,2020-08-07 22:07:13+00:00,Whether schools get the resources they need cannot depend on a system of reward and punishment that is based on their willingness to put children at risk of the #coronavirus. We have to do *our* homework if we want children back in class – safely.,school resource need depend system reward punishment base willingness child risk coronavirus homework want child class safely,1157,#coronavirus,<UNK>,TeamPelosi,6
28,28,1291831394029707264,2020-08-07 20:19:40+00:00,"As a result of this Administration's #coronavirus failure, America's working families are facing unprecedented health, job, housing, and food insecurity – at once. The breadth of solutions *must* be responsive to these urgent needs. There is no halfway point to survival.",result Administration coronavirus failure America work family face unprecedented health housing food insecurity breadth solution responsive urgent need halfway point survival,1146,#coronavirus,<UNK>,TeamPelosi,6
29,29,1291799753915858944,2020-08-07 18:13:56+00:00,"Vice-President @JoeBiden’s faith has given him hope and strength to withstand loss in his life and, in turn, to become a comfort to others. The American people will be well-served by his empathy and clear sense of purpose when we heal and look ahead from the #coronavirus.",Vice President @JoeBiden faith give hope strength withstand loss life turn comfort american people serve empathy clear sense purpose heal look ahead coronavirus,1622,#coronavirus,@JoeBiden,TeamPelosi,1
30,30,1291783796686290946,2020-08-07 17:10:31+00:00,"With our lives, livelihood, and the life of our democracy at stake from the impact of the #coronavirus, the urgency to get something done for the children and for America’s working families could not be greater.",life livelihood life democracy stake impact coronavirus urgency child America work family great,781,#coronavirus,<UNK>,TeamPelosi,6
31,31,1291767855025991680,2020-08-07 16:07:11+00:00,"The recent projection of 300,000 deaths in our country by December is simply heartbreaking. This grim reality is not inevitable, however. Urgent implementation of a strategic, science-based plan to contain the #coronavirus can still save countless lives.","recent projection 300,000 death country December simply heartbreake grim reality inevitable urgent implementation strategic science base plan contain coronavirus save countless life",1376,#coronavirus,<UNK>,TeamPelosi,3
32,32,1291489239188877315,2020-08-06 21:40:03+00:00,"This is the 20th week with over 1 million jobless claims. Unless we honor our heroes and have a strategic plan to defeat the #TrumpVirus, we’ll lose more jobs.",20th week million jobless claim honor hero strategic plan defeat TrumpVirus lose job,1266,#TrumpVirus,<UNK>,TeamPelosi,3
33,33,1291418051045466116,2020-08-06 16:57:11+00:00,"We are here for America’s working families. Our focus is to help them survive the public health and economic disaster of the #TrumpVirus. Republicans prefer to champion tax breaks for fancy lunches. Clearly, they don’t share our values.",America work family focus help survive public health economic disaster TrumpVirus Republicans prefer champion break fancy lunch clearly share value,436,#TrumpVirus,<UNK>,TeamPelosi,6
34,34,1291377562111877120,2020-08-06 14:16:18+00:00,"Don’t mistake Washington Republicans for giving a damn about struggling workers and hungry children — especially during a pandemic that has killed more than 162,000 lives and millions of jobs. -NP","mistake Washington Republicans give damn struggle worker hungry child especially pandemic kill 162,000 life million job",2773,<UNK>,<UNK>,TeamPelosi,6
35,35,1291359931635990534,2020-08-06 13:06:14+00:00,"Washington Republicans understand urgency when they want their special interest friends to have more. But when it comes to America’s workers and children falling further into poverty, they’re dragging their feet.",Washington Republicans understand urgency want special interest friend come America worker child fall poverty drag foot,2563,<UNK>,<UNK>,TeamPelosi,6
36,36,1291203310268174336,2020-08-06 02:43:53+00:00,"A pandemic does not just “go away.” With chaotic leadership, it burns through populations — leaving behind unimaginable death as it runs out of victims. Magical thinking will *not* save American lives. Magical thinking has *cost* American lives. Science is the answer.",pandemic away chaotic leadership burn population leave unimaginable death run victim magical thinking save american life magical thinking cost american life science answer,9933,<UNK>,<UNK>,TeamPelosi,1
37,37,1291111808443588608,2020-08-05 20:40:17+00:00,"The American people are suffering and have no patience for the President’s Master of Distraction act. People are dying, children are hungry, and more workers are losing their jobs as he fails to adopt a strategic plan to stop the #coronavirus. That’s what’s important!",american people suffer patience President Master Distraction People die child hungry worker lose job fail adopt strategic plan stop coronavirus important,4091,#coronavirus,<UNK>,TeamPelosi,6
38,38,1291096126481989632,2020-08-05 19:37:58+00:00,"We will not stop fighting for a strategic, science-based plan that helps America’s working families. Enough of the delay. We must address the health and economic challenges from this pandemic.",stop fight strategic science base plan help America work family delay address health economic challenge pandemic,338,<UNK>,<UNK>,TeamPelosi,6
39,39,1291080247207763969,2020-08-05 18:34:52+00:00,"The urgency to contain the virus and to work together on relief #ForThePeople could not be greater. Further delay only exacerbates the threat to the lives and livelihood of America’s working families, and to the life of our democracy.",urgency contain virus work relief ForThePeople great delay exacerbate threat life livelihood America work family life democracy,856,#ForThePeople,<UNK>,TeamPelosi,6
40,40,1290802680173035520,2020-08-05 00:11:55+00:00,"The situation is staggering. Across our country, more people are dying, more are getting infected, more are losing their jobs, more are growing hungry. None of this, though, seems to matter to Republicans who are hurting the people.",situation staggering country people die get infect lose job grow hungry matter Republicans hurt people,1718,<UNK>,<UNK>,TeamPelosi,6
41,41,1290792025735016449,2020-08-04 23:29:35+00:00,"We want to: ✅ Honor our heroes; ✅ Feed the children; ✅ Put 💵 in Americans’ pockets; ✅ Safeguard our vote &amp; democracy; ✅ Protect the post office; ✅ Defeat the #TrumpVirus. But Republicans, who gave billions to their friends, choose to gamble with our health and safety.",want white_heavy_check_mark honor hero white_heavy_check_mark feed child white_heavy_check_mark dollar_banknote Americans pocket white_heavy_check_mark safeguard vote democracy white_heavy_check_mark protect post office white_heavy_check_mark defeat TrumpVirus Republicans give billion friend choose gamble health safety,872,#TrumpVirus,<UNK>,TeamPelosi,6
42,42,1290780839723360257,2020-08-04 22:45:08+00:00,"Let’s get real here: you can’t offer something you don’t have — and Washington Republicans have nothing for those suffering from the #TrumpVirus crisis. House Democrats, on the other hand, have a bold plan that defeats it, honors our heroes, and puts money in Americans’ pockets.",real offer Washington Republicans suffer TrumpVirus crisis House Democrats hand bold plan defeat honor hero put money Americans pocket,1599,#TrumpVirus,<UNK>,TeamPelosi,6
43,43,1290735878017605637,2020-08-04 19:46:28+00:00,"If we want to reopen the economy and have our children safely back in school, we have to defeat the #TrumpVirus. The House provided a strategic plan to do that more than 11 weeks ago. But Washington Republicans are failing the American people.",want reopen economy child safely school defeat TrumpVirus House provide strategic plan week Washington Republicans fail american people,8603,#TrumpVirus,<UNK>,TeamPelosi,1
44,44,1290685846220308481,2020-08-04 16:27:40+00:00,"We need an urgent course correction to face the worst shrinkage in our economy in generations, jobless claims topping 1 million for weeks, and a surge of #TrumpVirus cases across our country. America’s working families need help more than ever right now.",need urgent course correction face bad shrinkage economy generation jobless claim top million week surge TrumpVirus case country America work family need help right,1398,#TrumpVirus,<UNK>,TeamPelosi,6
45,45,1290362423313158146,2020-08-03 19:02:30+00:00,"The American people shouldn’t have to risk their lives to exercise their constitutional right to vote. Our democracy demands fair, free, and safe elections.",american people risk life exercise constitutional right vote democracy demand fair free safe election,888,<UNK>,<UNK>,TeamPelosi,6
46,46,1290302851462332422,2020-08-03 15:05:47+00:00,"There’s an emergency in our country: the people are suffering, and Republicans are choosing to ignore their pleas for help.",emergency country people suffer Republicans choose ignore plea help,1974,<UNK>,<UNK>,TeamPelosi,6
47,47,1290056477139296262,2020-08-02 22:46:46+00:00,"We have a bold plan that: ✅ Honors our heroes on the frontlines; ✅ Contains, controls and defeats the #TrumpVirus; ✅ Puts money in the pockets of the American people. Republicans, meanwhile, want to give wealthy executives another tax break.",bold plan white_heavy_check_mark honor hero frontline white_heavy_check_mark contain control defeat TrumpVirus white_heavy_check_mark put money pocket american people Republicans want wealthy executive break,814,#TrumpVirus,<UNK>,TeamPelosi,6
48,48,1290004804194807808,2020-08-02 19:21:27+00:00,"Across our country, families are standing in line for hours for food to feed their children. Washington Republicans prove how out of touch they are when they keep refusing to help feed the people.",country family stand line hour food feed child Washington Republicans prove touch refuse help feed people,764,<UNK>,<UNK>,TeamPelosi,6
49,49,1289965695665451009,2020-08-02 16:46:02+00:00,$600 goes a long way for our working families. Yet Washington Republicans want to deny those that lost their jobs in the #TrumpVirus pandemic this essential lifeline. These are the same Republicans who suddenly forget they handed billions to corporations in their Tax Scam.,go long work family Washington Republicans want deny lose job TrumpVirus pandemic essential lifeline Republicans suddenly forget hand billion corporation scam,2493,#TrumpVirus,<UNK>,TeamPelosi,6
50,50,1289926334353772545,2020-08-02 14:09:38+00:00,"If we want to reopen the economy, have our children safely back in school and defeat the #TrumpVirus, a bold plan is needed. House Democrats have one – in fact, for 11 weeks Senate Republicans have ignored it and refused to act with urgency.",want reopen economy child safely school defeat TrumpVirus bold plan need House Democrats fact week Senate Republicans ignore refuse urgency,3628,#TrumpVirus,<UNK>,TeamPelosi,1
51,51,1289690420000092160,2020-08-01 22:32:12+00:00,It's time for Republicans to get off pause and act with urgency against the #TrumpVirus. It's not going away on its own. Our economy and our people are suffering.,time Republicans pause urgency TrumpVirus go away economy people suffer,5058,#TrumpVirus,<UNK>,TeamPelosi,1
52,52,1289550366124761089,2020-08-01 13:15:40+00:00,"“The main problem is disarray among Republicans, who have wasted precious time debating a counterproposal to the $3 trillion Heroes Act that the Democratic House passed months ago.” -@washingtonpost",main problem disarray Republicans waste precious time debate counterproposal trillion Heroes Democratic House pass month -@washingtonpost,1195,<UNK>,@washingtonpost,TeamPelosi,1
53,53,1289328249881808898,2020-07-31 22:33:03+00:00,"Since House Democrats took action to get rid of the #TrumpVirus, 70,000 people have died and nearly 3 million have been infected in America — all the while Trump’s policies are destroying our economy. Enough of the delay and obstruction. Our people are suffering. -NP","House Democrats take action TrumpVirus 70,000 people die nearly million infect America Trump policy destroy economy delay obstruction people suffer",595,#TrumpVirus,<UNK>,TeamPelosi,1
54,54,1289290112820490243,2020-07-31 20:01:31+00:00,"The President wants to distract from the worst economic downturn in a single quarter in modern memory. His scheme, though, only goes so far when millions across America are watching Republicans fight to cut their lifelines.",President want distract bad economic downturn single quarter modern memory scheme go million America watch Republicans fight lifeline,1744,<UNK>,<UNK>,TeamPelosi,6
55,55,1288644608885510144,2020-07-30 01:16:31+00:00,"Our people are hungry. Our people are hurting. Unemployment is high. And yet #MoscowMitch refuses to take action on our plan that honors our heroes, puts money in the pockets of the people, and addresses the #TrumpVirus.",people hungry people hurt unemployment high MoscowMitch refuse action plan honor hero put money pocket people address TrumpVirus,2558,#MoscowMitch #TrumpVirus,<UNK>,TeamPelosi,6
56,56,1288543328955490304,2020-07-29 18:34:04+00:00,"The #coronavirus crisis has infected millions and killed more than 150,000 people in America. Yet Republicans are *still* trying to destroy our health care and the protections of those with pre-existing conditions. We must vote them out.","coronavirus crisis infect million kill 150,000 people America Republicans try destroy health care protection existing condition vote",3123,#coronavirus,<UNK>,TeamPelosi,6
57,57,1288479210856751107,2020-07-29 14:19:17+00:00,"To our VIPs — our Volunteers In Politics — keep working, keep fighting for the next 97 days #ForThePeople. So much is at stake. -NP",vip Volunteers Politics work fight day ForThePeople stake,268,#ForThePeople,<UNK>,TeamPelosi,0
58,58,1288435602875125760,2020-07-29 11:26:00+00:00,"If we’re not fighting for families struggling to feed their children and keep a roof over their heads in the middle of the President’s failed #coronavirus response and resulting unemployment crisis, what are we even here for?",fight family struggle feed child roof head middle President fail coronavirus response result unemployment crisis,426,#coronavirus,<UNK>,TeamPelosi,6
59,59,1288298064311091201,2020-07-29 02:19:28+00:00,"If your notion of addressing food security is a tax deduction for expensive business dinners but not making sure that no child in America goes to bed hungry, you may be a Republican Senator.",notion address food security deduction expensive business dinner make sure child America go hungry republican senator,23717,<UNK>,<UNK>,TeamPelosi,6
60,60,1288256729764048896,2020-07-28 23:35:13+00:00,The Attorney General takes an oath to uphold the Constitution as the people’s lawyer. He is not the criminal defense lawyer for the President.,Attorney General take oath uphold Constitution people lawyer criminal defense lawyer President,2200,<UNK>,<UNK>,TeamPelosi,1
61,61,1288116725615955968,2020-07-28 14:18:54+00:00,"From that bridge in Selma, to the steps of the Lincoln Memorial, and now to the Capitol Rotunda, Congressman John Lewis has inspired us to work for justice and a righteous peace. His legacy lives on.",bridge Selma step Lincoln Memorial Capitol Rotunda Congressman John Lewis inspire work justice righteous peace legacy live,316,<UNK>,<UNK>,TeamPelosi,4
62,62,1287900595626663937,2020-07-28 00:00:04+00:00,"Working all his life to forge our country into that more perfect union, Congressman John Lewis knew that there was more to do. As he passed the torch to future generations in his last public act, he was encouraged that his dream and the fight for justice live on.",work life forge country perfect union Congressman John Lewis know pass torch future generation public encourage dream fight justice live,278,<UNK>,<UNK>,TeamPelosi,6
63,63,1287407534920421377,2020-07-26 15:20:49+00:00,Congressional Republicans must end their obstruction and join Democrats to help Americans suffering from Trump’s abysmal failure on the #coronavirus.,congressional Republicans obstruction join Democrats help american suffer Trump abysmal failure coronavirus,2194,#coronavirus,<UNK>,TeamPelosi,1
64,64,1286446046021853185,2020-07-23 23:40:13+00:00,💪💪💪,flexed_biceps::flexed_biceps::flexed_biceps,7,<UNK>,<UNK>,TeamPelosi,2
65,65,1285229645022089223,2020-07-20 15:06:40+00:00,"Every day of his 33 years in the House, our beloved John Lewis was animated by the fight for justice, in all forms, and love of country and of one another as God’s children. The conscience of our Congress, he left us the blueprint to honor and advance his legacy. #GoodTrouble",year House beloved John Lewis animate fight justice form love country child conscience Congress leave blueprint honor advance legacy GoodTrouble,391,#GoodTrouble,<UNK>,TeamPelosi,4
66,66,1285191976187551745,2020-07-20 12:36:59+00:00,"Congressman John Lewis – the Conscience of the Congress and a titan of the civil rights movement – fought for justice with goodness, faith and courage. Following his lead, we will be fearless in the pursuit of a more perfect union. We will ensure his ideas live on. -NP https://twitter.com/TeamPelosi/status/1284511354498560001",Congressman John Lewis Conscience Congress titan civil rights movement fight justice goodness faith courage follow lead fearless pursuit perfect union ensure idea live,805,<UNK>,<UNK>,TeamPelosi,6
67,67,1284572534005026819,2020-07-18 19:35:32+00:00,".@SimaforTX learned the values of freedom and opportunity as a young immigrant to America. Today, this mother, lawyer, and activist is committed to centering the needs of working families in #TX02 and to facing down those who would divide our nation with the politics of fear.",.@SimaforTX learn value freedom opportunity young immigrant America today mother lawyer activist commit center need work family TX02 face divide nation politic fear,203,#TX02,@SimaforTX,TeamPelosi,6
68,68,1284572514052603906,2020-07-18 19:35:28+00:00,"Christina @FinelloForPA will focus on the needs of struggling families in #PA01 by working to increase access to good, quality health care, create good-paying jobs that can never be outsourced, and improve safety and security for all of America’s children.",Christina @FinelloForPA focus need struggle family pa01 work increase access good quality health care create good pay job outsource improve safety security America child,280,#PA01,@FinelloForPA,TeamPelosi,6
69,69,1284572508100988928,2020-07-18 19:35:26+00:00,"A granddaughter of sharecroppers and lawyer who worked for our first Black President, @TimsDesiree wants all children in #OH10 to have the same opportunity to achieve their American Dream with investments in quality health care and in schools that foster their potential.",granddaughter sharecropper lawyer work black President @timsdesiree want child OH10 opportunity achieve american Dream investment quality health care school foster potential,132,#OH10,@TimsDesiree,TeamPelosi,6
70,70,1284572502136586246,2020-07-18 19:35:25+00:00,"Margaret @GoodforFlorida is looking forward to making a real difference in the lives of working families in #FL16 by bringing to the House the same dedication and common sense problem-solving that always guided her service as an attorney, non-profit leader, and legislator.",Margaret @GoodforFlorida look forward make real difference life work family FL16 bring House dedication common sense problem solve guide service attorney profit leader legislator,133,#FL16,@GoodforFlorida,TeamPelosi,4
71,71,1284572494599462914,2020-07-18 19:35:23+00:00,.@candacefor24 is a mom and educator whose lived experience informs her commitment to finding solutions in education policy that create opportunity for children and families in underserved communities. She will make history as the first Afro-Latina in Congress. #TX24,.@candacefor24 educator live experience inform commitment find solution education policy create opportunity child family underserved community history Afro Latina Congress TX24,118,#TX24,@candacefor24,TeamPelosi,6
72,72,1284572487142068224,2020-07-18 19:35:21+00:00,"A devoted mother of five and a former public school teacher, @AmyKennedy715 has a deep commitment and passion for education and for mental health advocacy and policy that will greatly benefit her work in the House #ForThePeople of #NJ02.",devoted mother public school teacher @AmyKennedy715 deep commitment passion education mental health advocacy policy greatly benefit work House ForThePeople NJ02,312,#ForThePeople #NJ02,@AmyKennedy715,TeamPelosi,6
73,73,1284511354498560001,2020-07-18 15:32:26+00:00,"Our beloved John Lewis was the conscience of the Congress but he was and remains the conscience of America, as well. On our journey to live up to our ideals, we have his entire life’s example of mirroring unearthed inequality with ever-enlarging dedication to justice for all. –NP",beloved John Lewis conscience Congress remain conscience America journey live ideal entire life example mirror unearthed inequality enlarge dedication justice,5128,<UNK>,<UNK>,TeamPelosi,4
74,74,1283107975238909952,2020-07-14 18:35:54+00:00,We are long past the time for excuses and dithering. The roadmap is right here to save lives from the #coronavirus and restore our economy. Just do it.,long past time excuse dither roadmap right save life coronaviru restore economy,812,#coronavirus,<UNK>,TeamPelosi,6
75,75,1283093088513204229,2020-07-14 17:36:45+00:00,"Opening our schools *safely* requires proper planning, an investment of resources, a commitment to science-based solutions, and using every effective tool available to this Administration in fighting the #coronavirus.",open school safely require proper planning investment resource commitment science base solution effective tool available Administration fight coronavirus,593,#coronavirus,<UNK>,TeamPelosi,6
76,76,1283080115811999745,2020-07-14 16:45:12+00:00,Our states and communities are under tremendous hardship from the #coronavirus. We must do everything we can to help them so that they can keep helping the American people get through this difficult time.,state community tremendous hardship coronavirus help help american people difficult time,452,#coronavirus,<UNK>,TeamPelosi,6
77,77,1283070370396987392,2020-07-14 16:06:29+00:00,"As the strain from the #coronavirus crisis has continued to batter our economy and cost millions of jobs, America’s families have suffered greatly from Mitch McConnell’s “pause.”",strain coronavirus crisis continue batter economy cost million job America family suffer greatly Mitch McConnell pause,1135,#coronavirus,<UNK>,TeamPelosi,6
78,78,1282776222737616898,2020-07-13 20:37:38+00:00,"When this Administration disregards the guidance of scientists about how to get a handle on the #coronavirus and threatens the most vulnerable students, you have to wonder what it is they are fighting for and what they believe in – if anything.",Administration disregard guidance scientist handle coronaviru threaten vulnerable student wonder fight believe,1286,#coronavirus,<UNK>,TeamPelosi,6
