Unnamed: 0,Unnamed: 0.1,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author,lda_cluster
10,10,1259471002184159233,2020-05-10 13:11:01+00:00,"My life has been shaped by the lessons and values instilled in me by my mom, Lenore. And I could not be more proud of the mom that @AnnRomney is to our sons. Happy #MothersDay to all of the moms out there!",life shape lesson value instill Lenore proud @AnnRomney son happy mothersday mom,127,#MothersDay,@AnnRomney,MittRomney,4
11,11,1259471001483689989,2020-05-10 13:11:01+00:00,"We've witnessed the incredible strength of mothers during this pandemic—juggling working from home with helping teach their kids, all while managing the daily responsibilities that come with being a parent and running a household.",witness incredible strength mother pandemic juggle work home help teach kid manage daily responsibility come parent run household,379,<UNK>,<UNK>,MittRomney,4
12,12,1257457909316890627,2020-05-04 23:51:42+00:00,.@AmerCompass is helping conservatives rethink how we apply our principles to the problems of today. I welcome their contribution to our national policy debates.,.@AmerCompass help conservative rethink apply principle problem today welcome contribution national policy debate,96,<UNK>,@AmerCompass,MittRomney,6
13,13,1254521248941563906,2020-04-26 21:22:28+00:00,#GoCougs!,GoCougs,162,#GoCougs,<UNK>,MittRomney,0
14,14,1250530360464748550,2020-04-15 21:04:06+00:00,#GoCougs,GoCougs,132,#GoCougs,<UNK>,MittRomney,0
15,15,1249327266397642753,2020-04-12 13:23:26+00:00,"He is risen! While Easter services will look different this year, we will celebrate from our homes with praise and profound appreciation for the greatest gift, the greatest miracle, and the greatest sacrifice: Jesus Christ, the Son of God, lives!",rise Easter service look different year celebrate home praise profound appreciation great gift great miracle great sacrifice Jesus Christ live,449,<UNK>,<UNK>,MittRomney,4
16,16,1244380959761403905,2020-03-29 21:48:34+00:00,"The Games were arguably the best ever, in large measure thanks to the character and care of Bob Garff. Ann and I will miss our friend very, very much. We send our sympathy and love to dear Kathi.",Games arguably good large measure thank character care Garff miss friend send sympathy love dear Kathi,199,<UNK>,<UNK>,MittRomney,4
17,17,1244380958750638080,2020-03-29 21:48:34+00:00,"The scandal that surrounded the Games could have overwhelmed our collective commitment, but Bob’s genuine goodness, clear-eyed optimism, and can-do management experience helped to re-ignite our confidence and community spirit.",scandal surround Games overwhelm collective commitment genuine goodness clear eyed optimism management experience help ignite confidence community spirit,187,<UNK>,<UNK>,MittRomney,6
18,18,1244380957387481089,2020-03-29 21:48:34+00:00,"Bob’s contributions to our state, to our economy, and to our church will be heralded by many. But for me, it was his sound and principled leadership as the Chairman of the Olympic Winter Games of 2002 that is most compelling.",contribution state economy church herald sound principle leadership Chairman Olympic Winter Games 2002 compelling,231,<UNK>,<UNK>,MittRomney,6
19,19,1244380956355710980,2020-03-29 21:48:34+00:00,"With profound sadness, I have learned that my friend Bob Garff has passed away from COVID-19. It breaks my heart.",profound sadness learn friend Garff pass away COVID-19 break heart,6032,<UNK>,<UNK>,MittRomney,6
20,20,1242542155312349186,2020-03-24 20:01:49+00:00,"Thankfully I’ve tested negative for COVID-19. Nevertheless, guidance from my physician, consistent with the CDC guidelines, requires me to remain in quarantine as the test does not rule out the onset of symptoms during the 14-day period.",thankfully test negative covid-19 guidance physician consistent guideline require remain quarantine test rule onset symptom 14-day period,9164,<UNK>,<UNK>,MittRomney,3
21,21,1242149228060835840,2020-03-23 18:00:28+00:00,"With hundreds of thousands being laid off every single day and employers shutting down—some permanently—this is no time for Dems to dither, hoping to win corporate social engineering points. Shameful, destructive, and dangerous.",hundred thousand lay single employer shut permanently time dem dither hope corporate social engineering point shameful destructive dangerous,7625,<UNK>,<UNK>,MittRomney,6
22,22,1241921485377286145,2020-03-23 02:55:30+00:00,"As for funds for companies, it’s to keep entities that employ millions of Americans from folding—it’s to save jobs. Keep this up a little longer and we will go from social distancing to social destruction.",fund company entity employ million Americans fold save job little long social distancing social destruction,2159,<UNK>,<UNK>,MittRomney,3
23,23,1241921484320358400,2020-03-23 02:55:30+00:00,"Nothing in the Senate has shocked me, until today. Standing in the way of a critically needed rescue package is irresponsible and reckless. Dems say not enough money to states: nearly $200 billion isn’t chump change. Hospitals get at least $75 billion.",Senate shock today stand critically need rescue package irresponsible reckless dem money state nearly billion chump change hospital billion,9304,<UNK>,<UNK>,MittRomney,3
24,24,1241391680101789698,2020-03-21 15:50:15+00:00,#InThisTogether,inthistogether,71,#InThisTogether,<UNK>,MittRomney,0
25,25,1241381910259085312,2020-03-21 15:11:25+00:00,"Mr. Rogers: “When I was a boy and I would see scary things in the news, my mother would say to me, ‘Look for the helpers. You will always find people who are helping.’” Happy birthday, Milt! #InThisTogether",Rogers scary thing news mother look helper find people help happy birthday Milt inthistogether,346,#InThisTogether,<UNK>,MittRomney,4
26,26,1241182626955878400,2020-03-21 01:59:32+00:00,"Deeply saddened by this news. Larry was the audio technician for the @NBCnews team dispatched to cover my 2012 campaign. He was a special part of the Romney Rambler family. Ann and I send our prayers to Larry’s wife, Crystal, his sons, and loved ones.",deeply sadden news Larry audio technician @nbcnews team dispatch cover 2012 campaign special Romney Rambler family send prayer Larry wife Crystal son love one,3192,<UNK>,@NBCNews,MittRomney,4
27,27,1240733459326341125,2020-03-19 20:14:43+00:00,"My colleagues and I are working on the next relief package—one that helps American families, workers, and small businesses deal with the financial implications of #COVID19 and shores up our economy. More to come. Stay safe out there—note that we are practicing social distancing!",colleague work relief package help american family worker small business deal financial implication covid19 shore economy come stay safe note practice social distancing,377,#COVID19,<UNK>,MittRomney,3
28,28,1240446751263375362,2020-03-19 01:15:26+00:00,"Prayers and hearty well wishes to my friend, Utah Congressman Ben McAdams, who has tested positive for #COVID19. His work from his bed at home on behalf of his district, state and country is laudable, selfless and greatly appreciated.",prayer hearty wish friend Utah Congressman McAdams test positive covid19 work home behalf district state country laudable selfless greatly appreciate,217,#COVID19,<UNK>,MittRomney,4
29,29,1239554321341206533,2020-03-16 14:09:14+00:00,"3) If you share your home with younger people, divide your quarantine space by creating a barrier with anything you can find, and keep younger folks who aren’t following a quarantine several feet away from the dividing line.",share home young people divide quarantine space create barrier find young folk follow quarantine foot away divide line,87,<UNK>,<UNK>,MittRomney,6
30,30,1239554319415984129,2020-03-16 14:09:14+00:00,"2) Prepare your own meals at home. If you order delivered meals, have them left on the doorstep by specifying “no contact” delivery and make sure to heat them to kill any germs.",prepare meal home order deliver meal leave doorstep specify contact delivery sure heat kill germ,108,<UNK>,<UNK>,MittRomney,3
31,31,1239554316085665796,2020-03-16 14:09:13+00:00,Working from home may be impossible for you—as it is for me in the Senate. But it’s sure worth a try.,work home impossible Senate sure worth,24,<UNK>,<UNK>,MittRomney,0
32,32,1239554308968001538,2020-03-16 14:09:11+00:00,"1) Practice strict quarantine. Stay in your home, drive alone in your car, or walk by yourselves outdoors where others aren’t around. Avoid restaurants, movie theaters, shopping centers, and airplanes. Work from home until we know more.",practice strict quarantine stay home drive walk outdoors avoid restaurant movie theater shopping center airplane work home know,38,<UNK>,<UNK>,MittRomney,0
33,33,1239554307491532800,2020-03-16 14:09:11+00:00,"Everyone, especially seniors and those who are health compromised, should take far more restrictive measures than we are right now. Here’s a checklist from a nurse friend of mine that may be useful for seniors:",especially senior health compromise restrictive measure right checklist nurse friend useful senior,54,<UNK>,<UNK>,MittRomney,6
34,34,1239554296515084292,2020-03-16 14:09:08+00:00,"Re-upping this urgent advice: Seniors & people with compromised health are at greater risk from #COVID19. How much greater? Of the first 803 Italian deaths reported, 98% were 60 or older. Data from other countries also show that older people have a much higher risk of death.",up urgent advice senior people compromised health great risk covid19 great italian death report old datum country old people high risk death,550,#COVID19,<UNK>,MittRomney,3
35,35,1239354980219457536,2020-03-16 00:57:08+00:00,Stay well. America needs you.,stay America need,83,<UNK>,<UNK>,MittRomney,6
36,36,1239354978881482754,2020-03-16 00:57:07+00:00,"3) If you share your home with younger people, divide your quarantine space by creating a barrier with anything you can find, and keep younger folks who aren’t following a quarantine several feet away from the dividing line.",share home young people divide quarantine space create barrier find young folk follow quarantine foot away divide line,29,<UNK>,<UNK>,MittRomney,6
37,37,1239354977694482433,2020-03-16 00:57:07+00:00,"2) Prepare your own meals at home. If you order delivered meals, have them left on the doorstep by specifying “no contact” delivery and make sure to heat them to kill any germs.",prepare meal home order deliver meal leave doorstep specify contact delivery sure heat kill germ,25,<UNK>,<UNK>,MittRomney,3
38,38,1239354976511709185,2020-03-16 00:57:07+00:00,Working from home may be impossible for you—as it is for me in the Senate. But it’s sure worth a try.,work home impossible Senate sure worth,25,<UNK>,<UNK>,MittRomney,0
39,39,1239354975056265221,2020-03-16 00:57:06+00:00,"1) Practice strict quarantine. Stay in your home, drive alone in your car, or walk by yourselves outdoors where others aren’t around. Avoid restaurants, movie theaters, shopping centers, and airplanes. Work from home until we know more.",practice strict quarantine stay home drive walk outdoors avoid restaurant movie theater shopping center airplane work home know,23,<UNK>,<UNK>,MittRomney,0
40,40,1239354769346568192,2020-03-16 00:56:17+00:00,"Everyone, especially seniors and those who are health compromised, should take far more restrictive measures than we are right now. Here’s a checklist from a nurse friend of mine that may be useful for seniors:",especially senior health compromise restrictive measure right checklist nurse friend useful senior,22,<UNK>,<UNK>,MittRomney,6
41,41,1239354631005839364,2020-03-16 00:55:44+00:00,"Seniors and people with compromised health are at greater risk from #COVID19. How much greater? Of the first 803 people the Italian government reported who have died, 98% were 60 or older. Data from other countries also show that older people have a much higher risk of death.",senior people compromised health great risk covid19 great people italian government report die old datum country old people high risk death,32,#COVID19,<UNK>,MittRomney,3
42,42,1239354548860391424,2020-03-16 00:55:25+00:00,"Even if you’re not a senior citizen or in a high-risk group, it’s critical that you limit social contact as much as possible. Younger people are not immune. It’s incumbent on younger people to limit the spread and protect our communities.",senior citizen high risk group critical limit social contact possible young people immune incumbent young people limit spread protect community,59,<UNK>,<UNK>,MittRomney,6
43,43,1239354463179153410,2020-03-16 00:55:04+00:00,".@CDCgov’s new guidance advises canceling or postponing any in-person gatherings of &gt;50 people for the next 8 weeks, and advises against gatherings of any size unless using strict precautions. https://www.cdc.gov/coronavirus/2019-ncov/community/large-events/mass-gatherings-ready-for-covid-19.html",.@CDCgov guidance advise cancel postpone person gathering gt;50 people week advise gathering size strict precaution,183,<UNK>,@CDCgov,MittRomney,5
44,44,1238834616255029248,2020-03-14 14:29:23+00:00,"With kids across the country now staying home from school, it’s especially important for seniors to physically isolate themselves from the rest of the family. Seniors’ high #Covid19 mortality demands high vigilance.",kid country stay home school especially important senior physically isolate rest family senior high Covid19 mortality demand high vigilance,840,#Covid19,<UNK>,MittRomney,6
45,45,1238463748031070208,2020-03-13 13:55:41+00:00,"All seniors, especially those like me who are over 70, must take every precaution: we are the ones most likely to suffer the most severe complications from COVID-19 that will overwhelm the healthcare system. Please, follow strict social-distancing & even consider self-quarantine.",senior especially like precaution one likely suffer severe complication COVID-19 overwhelm healthcare system follow strict social distancing consider self quarantine,9920,<UNK>,<UNK>,MittRomney,6
46,46,1238237007421353985,2020-03-12 22:54:42+00:00,"I applaud @Ch_JesusChrist for taking these proactive steps to protect the health of Church members, and their communities.",applaud @Ch_JesusChrist take proactive step protect health Church member community,123,<UNK>,@Ch_JesusChrist,MittRomney,6
47,47,1237952391644950528,2020-03-12 04:03:44+00:00,I encourage all Americans to register with the @StateDept’s STEP Program when traveling overseas. Enrolling with the local US Embassy/consulate will help government officials communicate important information on travel to the US and other safety updates. https://step.state.gov/STEPMobile/Default.aspx,encourage Americans register @StateDept STEP Program travel overseas enrol local Embassy consulate help government official communicate important information travel safety update,275,<UNK>,@StateDept,MittRomney,3
48,48,1235351201232957440,2020-03-04 23:47:32+00:00,A reprehensible threat from Senator Schumer is followed by a laughably illogical prevarication. What ever happened to truth and a simple apology?,reprehensible threat Senator Schumer follow laughably illogical prevarication happen truth simple apology,1318,<UNK>,<UNK>,MittRomney,1
49,49,1234525841620684800,2020-03-02 17:07:51+00:00,"A remarkable leader who built an even greater GE than he found it. His understated and modest demeanor could not hide the brilliance and passion that propelled his career. Never a spectator, always a participant. Ann and I will miss our friendship that spanned three decades.",remarkable leader build great find understated modest demeanor hide brilliance passion propel career spectator participant miss friendship span decade,97,<UNK>,<UNK>,MittRomney,4
50,50,1234108039357247490,2020-03-01 13:27:39+00:00,"Remarkable and impressive that the invasion of the highly contagious COVID-19 into the US has been delayed. Thanks to the professionals fighting it, caring for the sick, and racing to find treatments and vaccines. A time for appreciation, not politics.",remarkable impressive invasion highly contagious COVID-19 delay thank professional fight care sick race find treatment vaccine time appreciation politic,4014,<UNK>,<UNK>,MittRomney,6
51,51,1228315347440295947,2020-02-14 13:49:34+00:00,"Some things never change. Happy Valentine’s Day, sweetheart.",thing change Happy Valentine sweetheart,2702,<UNK>,<UNK>,MittRomney,1
52,52,1224678427472670721,2020-02-04 12:57:45+00:00,"Rush Limbaugh is a fighter. In this battle with lung cancer, he will face this fight with the same tenacity in which he has delivered his show for the past three decades. Keeping Rush and his family in my prayers.",Rush Limbaugh fighter battle lung cancer face fight tenacity deliver past decade keep Rush family prayer,263,<UNK>,<UNK>,MittRomney,4
53,53,1221575357939273729,2020-01-26 23:27:15+00:00,"It meant taking no shortcuts and always striving to be the absolute best version of oneself. Praying for his wife, daughters, and loved ones in this difficult time.",mean take shortcut strive absolute good version oneself pray wife daughter love one difficult time,214,<UNK>,<UNK>,MittRomney,4
54,54,1221575356337082368,2020-01-26 23:27:15+00:00,"Heartbreaking news about Kobe Bryant, his daughter Gianna, and all others aboard, all gone from this world far too soon. Kobe’s “mamba mentality,” which led to so many accolades on the court, was about much more than basketball.",heartbreaking news Kobe Bryant daughter Gianna aboard go world soon Kobe mamba mentality accolade court basketball,439,<UNK>,<UNK>,MittRomney,4
55,55,1216500881413361666,2020-01-12 23:23:06+00:00,America stands with Iranians demonstrating for freedom. Ayatollah authoritarians may attempt to crush dissent but they cannot forever crush the human spirit.,America stand Iranians demonstrate freedom Ayatollah authoritarian attempt crush dissent forever crush human spirit,575,<UNK>,<UNK>,MittRomney,3
56,56,1209842364572934145,2019-12-25 14:24:32+00:00,Merry Christmas from our family to yours!,Merry Christmas family,229,<UNK>,<UNK>,MittRomney,4
57,57,1207083188625059840,2019-12-17 23:40:33+00:00,"China demands a loyalty oath from the press, imprisons minorities, uses facial recognition to monitor and repress dissenters, censors the internet and media, and then boasts of glorious unity. How dear American freedom, so hard won.",China demand loyalty oath press imprison minority use facial recognition monitor repress dissenter censor internet medium boast glorious unity dear american freedom hard,1722,<UNK>,<UNK>,MittRomney,3
58,58,1204131572309475333,2019-12-09 20:11:53+00:00,"Heartfelt sorrow with the death of Pete Frates, the young baseball star stricken with ALS who inspired the #IceBucketChallenge that raised millions for critical research. A legacy of courage, grace and nobility even as life dealt him tragedy.",heartfelt sorrow death Pete Frates young baseball star stricken inspire icebucketchallenge raise million critical research legacy courage grace nobility life deal tragedy,128,#IceBucketChallenge,<UNK>,MittRomney,4
59,59,1200207995499614209,2019-11-29 00:20:59+00:00,Happy Thanksgiving from my family to yours!,happy Thanksgiving family,219,<UNK>,<UNK>,MittRomney,4
60,60,1192448237904547841,2019-11-07 14:26:29+00:00,"Prof. Warren’s Medicare for All fails the test: Countries with socialized medicine make their numbers work through limits on care, cost sharing, and higher middle class taxes. Pretending otherwise is inauthentic and disingenuous.",Prof. Warren Medicare fail test country socialized medicine number work limit care cost sharing high middle class taxis pretend inauthentic disingenuous,1178,<UNK>,<UNK>,MittRomney,6
61,61,1191712690533814285,2019-11-05 13:43:41+00:00,Ann and I are heartbroken for the victims of the horrific attacks in Mexico. Our prayers are with their families who have suffered such an unspeakable tragedy. The U.S. must work with Mexican officials to hold accountable those responsible for this senseless violence.,heartbroken victim horrific attack Mexico prayer family suffer unspeakable tragedy U.S. work mexican official hold accountable responsible senseless violence,464,<UNK>,<UNK>,MittRomney,5
62,62,1190358776752291841,2019-11-01 20:03:42+00:00,"While Warren and Sanders push Medicare for All, they apparently haven’t noticed that Medicare for Some is about to go bankrupt. Instead of fairy tale proposals, we should take bipartisan steps toward making sure current programs are around for the long-haul.",Warren Sanders push Medicare apparently notice Medicare bankrupt instead fairy tale proposal bipartisan step make sure current program long haul,731,<UNK>,<UNK>,MittRomney,6
63,63,1188451019451240449,2019-10-27 13:42:58+00:00,"Al Baghdadi spread “fire and brimstone” on earth; now he feels it for himself in hell. To all who arranged his change of venue—the intel officers, the President, the warriors—thank you.",Baghdadi spread fire brimstone earth feel hell arrange change venue intel officer President warrior thank,2366,<UNK>,<UNK>,MittRomney,5
64,64,1187845919259140097,2019-10-25 21:38:30+00:00,"I stand with the @UtahJazz in pledging to promote civility in our state, and our country. Let’s #LeadTogether in showing others what it means to be a Utahn.",stand @UtahJazz pledge promote civility state country LeadTogether show mean Utahn,98,#LeadTogether,@utahjazz,MittRomney,1
65,65,1187043888927784960,2019-10-23 16:31:31+00:00,It’s unthinkable that Turkey would not suffer consequences for malevolent behavior which was contrary to the interests of the United States and our friends.,unthinkable Turkey suffer consequence malevolent behavior contrary interest United States friend,4837,<UNK>,<UNK>,MittRomney,3
66,66,1182702650468556801,2019-10-11 17:01:00+00:00,"Pleased to see @UUtah selected by the Commission on Presidential Debates to host the 2020 VP Debate. The importance of service and civility are two core values in the hearts of Utahns, and I can’t think of a better state to host this debate. Appreciate the work of @UtahDebateCom.",pleased @UUtah select Commission Presidential Debates host 2020 Debate importance service civility core value heart Utahns think well state host debate appreciate work @utahdebatecom,75,<UNK>,@UUtah @UtahDebateCom,MittRomney,4
67,67,1180586045961691136,2019-10-05 20:50:22+00:00,Enjoyed the pumpkin patch with my sweetheart and the two little pumpkins we brought with us!,enjoy pumpkin patch sweetheart little pumpkin bring,1845,<UNK>,<UNK>,MittRomney,2
68,68,1180151213993730049,2019-10-04 16:02:30+00:00,"By all appearances, the President’s brazen and unprecedented appeal to China and to Ukraine to investigate Joe Biden is wrong and appalling.",appearance President brazen unprecedented appeal China Ukraine investigate Biden wrong appalling,17722,<UNK>,<UNK>,MittRomney,1
69,69,1180151212030779392,2019-10-04 16:02:29+00:00,"When the only American citizen President Trump singles out for China’s investigation is his political opponent in the midst of the Democratic nomination process, it strains credulity to suggest that it is anything other than politically motivated.",american citizen President Trump single China investigation political opponent midst democratic nomination process strain credulity suggest politically motivated,38093,<UNK>,<UNK>,MittRomney,1
70,70,1175840899135352832,2019-09-22 18:34:51+00:00,"If the President asked or pressured Ukraine’s president to investigate his political rival, either directly or through his personal attorney, it would be troubling in the extreme. Critical for the facts to come out.",President ask pressure Ukraine president investigate political rival directly personal attorney troubling extreme critical fact come,11396,<UNK>,<UNK>,MittRomney,1
71,71,1171391668597248006,2019-09-10 11:55:11+00:00,.@US_FDA should consider recalling e-cigarettes as it continues to investigate recent deaths and illnesses related to vaping. I’m increasingly concerned that a generation of young people has been deceived into thinking e-cigarettes are safe.,.@US_FDA consider recall cigarette continue investigate recent death illness relate vape increasingly concern generation young people deceive think cigarette safe,143,<UNK>,@US_FDA,MittRomney,3
72,72,1166756880724586496,2019-08-28 16:58:12+00:00,"Johnny Isakson has cast a bright beam in our nation’s Capitol. A man of rare integrity, unwavering honesty & profound character, his work has helped shape American greatness. His decision to retire from the Senate will dim the light of goodness he’s shed on it for so many years.",Johnny Isakson cast bright beam nation Capitol rare integrity unwavere honesty profound character work help shape american greatness decision retire Senate light goodness shed year,46,<UNK>,<UNK>,MittRomney,4
73,73,1165751492252446720,2019-08-25 22:23:09+00:00,".@CindyMcCain and the McCain family have created a new way to honor John’s legacy by encouraging #ActsofCivility. John left this country and this world better off, and this is a wonderful way to keep his spirit and character alive.",.@CindyMcCain McCain family create honor John legacy encourage ActsofCivility John leave country world well wonderful spirit character alive,110,#ActsofCivility,@cindymccain,MittRomney,4
74,74,1165745736958525443,2019-08-25 22:00:16+00:00,"Today marks one year since the passing of John McCain. Courageous, honorable, driven by a duty to family, country & God, John exemplified the values we as Americans hold so dear. I'm blessed to have called him a friend. May we continue to be inspired by his heroism and character.",today mark year passing John McCain courageous honorable drive duty family country John exemplify value Americans hold dear bless call friend continue inspire heroism character,872,<UNK>,<UNK>,MittRomney,4
75,75,1165687956943908865,2019-08-25 18:10:41+00:00,"Iran’s vicious threats to an American citizen and to the Foundation for Defense of Democracies are further examples of its treachery, its untrustworthiness and its malign intent. Those in businesses or governments who look away from this reality make a dangerous error.",Iran vicious threat american citizen Foundation Defense Democracies example treachery untrustworthiness malign intent business government look away reality dangerous error,154,<UNK>,<UNK>,MittRomney,3
76,76,1165004424638603265,2019-08-23 20:54:34+00:00,"Great to join @GovHerbert, Congressman Bishop, @RepBenMcAdams, and friends yesterday at @MeritMedical for @VP’s #USMCA event. #utpol",great join @GovHerbert Congressman Bishop @RepBenMcAdams friend yesterday @meritmedical USMCA event utpol,15,#USMCA #utpol,@GovHerbert @RepBenMcAdams @MeritMedical @VP,MittRomney,0
77,77,1163482122776190976,2019-08-19 16:05:29+00:00,"In an era of ballooning deficits; social, racial, and economic divisions; and isolationist tendencies, socialism isn’t the solution. Conservatives must promote a governing vision that reaffirms our core principles.",balloon deficit social racial economic division isolationist tendency socialism solution conservative promote govern vision reaffirm core principle,144,<UNK>,<UNK>,MittRomney,6
78,78,1163481053992050688,2019-08-19 16:01:14+00:00,Live soon→ I’ll be making the case for Conservatism at the @SutherlandInst. Tune in:,live soon→ make case Conservatism @sutherlandinst Tune,14,<UNK>,@SutherlandInst,MittRomney,4
79,79,1156634423519010817,2019-07-31 18:35:10+00:00,"Nice try, but socialism isn’t the answer. If it was, maybe Bernie would have something to show for his 3 decades in Congress. #AllHatNoCattle",nice socialism answer maybe Bernie decade Congress AllHatNoCattle,797,#AllHatNoCattle,<UNK>,MittRomney,3
80,80,1156565822850129925,2019-07-31 14:02:34+00:00,"Asked why @BernieSanders is so angry, the answer is simple: 28 years in Congress and never able to pass even a scintilla of his socialist agenda. All hat, no cattle.",ask @BernieSanders angry answer simple year Congress able pass scintilla socialist agenda cattle,4766,<UNK>,@BernieSanders,MittRomney,1
81,81,1151914056242126849,2019-07-18 17:58:07+00:00,"The chants at last night’s rally were offensive, and I’m glad the President has disavowed them.",chant night rally offensive glad President disavow,1275,<UNK>,<UNK>,MittRomney,0
82,82,1150883150861688832,2019-07-15 21:41:40+00:00,"People can disagree over politics and policy, but telling American citizens to go back to where they came from is over the line.",People disagree politic policy tell american citizen come line,1940,<UNK>,<UNK>,MittRomney,1
83,83,1150883149372645388,2019-07-15 21:41:39+00:00,"The president’s comments were destructive, demeaning, and disunifying. The President of the United States has a unique and noble calling to unite the American people – of all different races, colors, and national origins. In that respect, the president failed badly.",president comment destructive demeaning disunify President United States unique noble calling unite american people different race color national origin respect president fail badly,7716,<UNK>,<UNK>,MittRomney,1
84,84,1149681886308044800,2019-07-12 14:08:16+00:00,His selfless leadership and lifelong policy work were critical to the tax and regulatory reform that have helped propel the economy. A man like Paul Ryan does not often come along.,selfless leadership lifelong policy work critical regulatory reform help propel economy like Paul Ryan come,187,<UNK>,<UNK>,MittRomney,6
85,85,1149681884860997632,2019-07-12 14:08:16+00:00,"The fault for our 2012 loss is mine alone; @SpeakerRyan was a tireless campaigner, fundraiser, and conservative champion. As the sole person who could unite the House, he acquiesced to be Speaker as a service to the country.",fault 2012 loss @SpeakerRyan tireless campaigner fundraiser conservative champion sole person unite House acquiesce Speaker service country,445,<UNK>,@SpeakerRyan,MittRomney,1
86,86,1147949573383610368,2019-07-07 19:24:40+00:00,Congratulations @USWNT on your hard-fought victory! Back-to-back World Champions. Simply amazing. #OneNationOneTeam,congratulation @uswnt hard fight victory World Champions simply amazing OneNationOneTeam,57,#OneNationOneTeam,@USWNT,MittRomney,4
87,87,1145086094540791808,2019-06-29 21:46:14+00:00,"The President’s praise for MBS, the man who US intel says ordered or authorized the heinous murder of a WaPo columnist & Saudi dissident, sends the wrong message to the world. It’s past time for Congress & the administration to impose sanctions for the murder of Jamal Khashoggi.",President praise intel say order authorize heinous murder WaPo columnist saudi dissident send wrong message world past time Congress administration impose sanction murder Jamal Khashoggi,9982,<UNK>,<UNK>,MittRomney,3
88,88,1141106055553978369,2019-06-18 22:10:59+00:00,"Requiring this kind of reporting to the FBI is precisely what I was referring to. Thank you, next.",require kind report precisely refer thank,164,<UNK>,<UNK>,MittRomney,3
89,89,1140233309898723328,2019-06-16 12:23:00+00:00,"Being a father is the most important job I will ever have. And watching Tagg, Matt, Josh, Ben, and Craig become fathers themselves has been one of the greatest blessings of my life. Wishing all the dads out there a happy #FathersDay.",father important watch Tagg Matt Josh Craig father great blessing life wish dad happy FathersDay,102,#FathersDay,<UNK>,MittRomney,4
90,90,1139581697031331840,2019-06-14 17:13:43+00:00,"Inspired by the people of Hong Kong who are peacefully demonstrating to retain their freedoms and rights. I salute your cause, your honor, your courage. The images of your valiant faces are a stark contrast with the ugly hand of China’s repression.",inspire people Hong Kong peacefully demonstrate retain freedom right salute cause honor courage image valiant face stark contrast ugly hand China repression,160,<UNK>,<UNK>,MittRomney,3
